investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status
INV002530,2024-01-05,119093,SIP,13177,Telangana,Hyderabad,T30,36-45,Male,53.9,Cheque,PENDING
INV002796,2024-01-06,101207,LUMPSUM,115644,Telangana,Hyderabad,T30,36-45,Male,48.8,UPI,PENDING
INV001304,2024-01-06,125497,SIP,5514,Gujarat,Ahmedabad,T30,26-35,Male,21.8,Cheque,PENDING
INV001283,2024-01-06,119599,LUMPSUM,33527,Telangana,Hyderabad,T30,18-25,Male,4.6,Cheque,PENDING
INV002776,2024-01-06,101207,SIP,989,Tamil Nadu,Coimbatore,B30,18-25,Male,5.8,Net Banking,PENDING
INV000783,2024-01-06,148569,LUMPSUM,60606,Gujarat,Ahmedabad,T30,46-55,Male,92.0,Cheque,PENDING
INV000126,2024-01-06,101207,LUMPSUM,151709,Maharashtra,Mumbai,T30,26-35,Male,19.4,Mandate,PENDING
INV000960,2024-01-06,120507,SIP,12641,West Bengal,Kolkata,T30,46-55,Male,90.6,Cheque,PENDING
INV000104,2024-01-06,149322,SIP,29462,Madhya Pradesh,Indore,T30,26-35,Male,8.1,Cheque,PENDING
INV001476,2024-01-07,119092,SIP,10756,Rajasthan,Jaipur,T30,36-45,Male,38.1,Cheque,PENDING
INV003279,2024-01-07,119120,SIP,14432,Rajasthan,Jaipur,T30,46-55,Female,19.4,Net Banking,PENDING
INV001696,2024-01-08,120507,SIP,2285,West Bengal,Kolkata,T30,56+,Female,55.8,Net Banking,PENDING
INV003342,2024-01-08,119552,REDEMPTION,189489,Tamil Nadu,Chennai,T30,56+,Male,32.8,UPI,PENDING
INV001011,2024-01-08,100033,SIP,2227,Madhya Pradesh,Bhopal,B30,26-35,Male,14.4,Net Banking,PENDING
INV004672,2024-01-09,102886,LUMPSUM,443932,Rajasthan,Jaipur,T30,26-35,Male,23.9,Cheque,PENDING
INV000313,2024-01-09,119093,LUMPSUM,92005,Tamil Nadu,Chennai,T30,18-25,Female,3.1,Mandate,PENDING
INV001480,2024-01-09,148567,SIP,12372,West Bengal,Kolkata,T30,18-25,Male,3.1,Net Banking,PENDING
INV001228,2024-01-09,118632,REDEMPTION,199032,Karnataka,Bangalore,T30,36-45,Female,29.8,Mandate,PENDING
INV001778,2024-01-10,120843,SIP,13966,Maharashtra,Mumbai,T30,26-35,Male,9.7,Mandate,PENDING
INV003801,2024-01-10,125497,SIP,8589,Punjab,Chandigarh,T30,26-35,Male,17.8,UPI,PENDING
INV002416,2024-01-10,148569,REDEMPTION,238540,Telangana,Hyderabad,T30,26-35,Female,15.2,Mandate,PENDING
INV004514,2024-01-10,102885,SIP,1657,Haryana,Faridabad,B30,46-55,Male,40.1,Cheque,PENDING
INV004339,2024-01-10,101208,SIP,3544,Uttar Pradesh,Lucknow,T30,26-35,Female,7.3,Net Banking,PENDING
INV001333,2024-01-10,148569,LUMPSUM,78411,Haryana,Faridabad,B30,26-35,Female,19.0,Cheque,PENDING
INV003964,2024-01-10,148567,SIP,43989,Punjab,Chandigarh,T30,26-35,Male,16.7,Cheque,PENDING
INV000989,2024-01-11,120843,SIP,14264,Gujarat,Surat,T30,36-45,Male,16.1,UPI,PENDING
INV004223,2024-01-11,148569,SIP,412,Uttar Pradesh,Agra,B30,36-45,Female,49.3,Net Banking,PENDING
INV003423,2024-01-11,149324,SIP,6139,Delhi,Noida,T30,18-25,Female,3.2,Net Banking,PENDING
INV002594,2024-01-11,102887,REDEMPTION,346681,Haryana,Gurugram,T30,26-35,Male,23.7,Net Banking,PENDING
INV002716,2024-01-12,119092,SIP,2347,Tamil Nadu,Chennai,T30,56+,Female,47.4,Mandate,PENDING
INV002045,2024-01-12,118632,REDEMPTION,118396,Rajasthan,Jaipur,T30,18-25,Female,3.8,Net Banking,PENDING
INV000895,2024-01-12,149324,LUMPSUM,441094,Rajasthan,Udaipur,B30,26-35,Male,19.5,UPI,PENDING
INV003222,2024-01-12,120842,SIP,3343,Punjab,Amritsar,B30,56+,Female,11.7,Cheque,PENDING
INV003670,2024-01-13,119551,SIP,47799,Punjab,Chandigarh,T30,36-45,Male,38.4,Mandate,PENDING
INV002080,2024-01-13,148569,SIP,55735,Tamil Nadu,Coimbatore,B30,26-35,Male,21.3,Cheque,PENDING
INV000082,2024-01-13,120504,SIP,3380,Rajasthan,Udaipur,B30,26-35,Female,19.6,UPI,PENDING
INV003620,2024-01-14,125497,SIP,2718,Uttar Pradesh,Kanpur,B30,36-45,Female,15.7,Net Banking,PENDING
INV004961,2024-01-14,119092,SIP,5075,West Bengal,Kolkata,T30,36-45,Male,15.0,Mandate,PENDING
INV003946,2024-01-14,120504,SIP,10932,Karnataka,Mysore,B30,26-35,Female,9.2,UPI,PENDING
INV002714,2024-01-14,120503,LUMPSUM,237833,West Bengal,Kolkata,T30,46-55,Male,65.7,Mandate,PENDING
INV001557,2024-01-15,119120,LUMPSUM,11887,Haryana,Gurugram,T30,26-35,Female,10.5,UPI,PENDING
INV004467,2024-01-15,120505,SIP,9943,Tamil Nadu,Chennai,T30,46-55,Male,52.4,Cheque,PENDING
INV004151,2024-01-15,120506,LUMPSUM,417730,Karnataka,Mysore,B30,26-35,Male,21.6,Mandate,PENDING
INV003688,2024-01-15,118633,LUMPSUM,18336,Telangana,Hyderabad,T30,56+,Male,12.1,Cheque,PENDING
INV000405,2024-01-15,120504,SIP,2197,Karnataka,Mysore,B30,56+,Female,8.6,UPI,PENDING
INV003912,2024-01-15,148568,SIP,5222,West Bengal,Kolkata,T30,26-35,Male,8.5,Mandate,PENDING
INV004490,2024-01-16,120505,SIP,8074,Madhya Pradesh,Indore,T30,18-25,Female,3.9,UPI,PENDING
INV004467,2024-01-16,119095,REDEMPTION,353750,Tamil Nadu,Chennai,T30,46-55,Male,52.4,UPI,PENDING
INV002420,2024-01-16,119095,LUMPSUM,232210,Karnataka,Mysore,B30,26-35,Female,6.4,Mandate,PENDING
INV002143,2024-01-16,119120,LUMPSUM,97403,Uttar Pradesh,Lucknow,T30,26-35,Male,11.8,UPI,PENDING
INV001198,2024-01-16,120844,REDEMPTION,481961,Maharashtra,Mumbai,T30,26-35,Female,20.4,Mandate,PENDING
INV003077,2024-01-16,119120,REDEMPTION,158057,Tamil Nadu,Coimbatore,B30,18-25,Female,4.6,Net Banking,PENDING
INV004231,2024-01-17,119092,REDEMPTION,402802,West Bengal,Kolkata,T30,56+,Male,17.5,UPI,PENDING
INV004677,2024-01-18,118634,SIP,44380,Punjab,Amritsar,B30,26-35,Male,6.2,Net Banking,PENDING
INV004391,2024-01-18,118636,SIP,13159,Maharashtra,Mumbai,T30,26-35,Female,23.3,Net Banking,PENDING
INV001251,2024-01-18,119120,REDEMPTION,117286,Punjab,Chandigarh,T30,26-35,Female,11.7,Cheque,PENDING
INV004916,2024-01-18,125498,SIP,27811,Haryana,Faridabad,B30,26-35,Male,12.5,Cheque,PENDING
INV002870,2024-01-18,148568,SIP,16953,Karnataka,Mysore,B30,26-35,Female,23.7,UPI,PENDING
INV003421,2024-01-18,100025,LUMPSUM,284946,Telangana,Hyderabad,T30,26-35,Male,12.4,Net Banking,PENDING
INV003398,2024-01-18,102887,REDEMPTION,340063,Karnataka,Bangalore,T30,36-45,Male,42.0,Mandate,PENDING
INV003838,2024-01-19,119092,REDEMPTION,432267,Gujarat,Surat,T30,18-25,Female,5.1,Mandate,PENDING
INV003021,2024-01-19,125497,SIP,1972,Telangana,Hyderabad,T30,56+,Female,65.0,Net Banking,PENDING
INV001060,2024-01-19,120843,SIP,6191,Telangana,Hyderabad,T30,36-45,Male,29.0,UPI,PENDING
INV004408,2024-01-19,101208,SIP,420,Punjab,Amritsar,B30,26-35,Male,23.5,Cheque,PENDING
INV001428,2024-01-19,119552,LUMPSUM,311248,Delhi,New Delhi,T30,26-35,Male,17.8,Cheque,PENDING
INV003383,2024-01-19,119094,SIP,11765,Karnataka,Mysore,B30,18-25,Male,4.6,Mandate,PENDING
INV002706,2024-01-20,119092,LUMPSUM,337669,Haryana,Faridabad,B30,46-55,Female,22.8,Net Banking,PENDING
INV004737,2024-01-20,118634,SIP,5179,Madhya Pradesh,Indore,T30,46-55,Male,98.4,Cheque,PENDING
INV000422,2024-01-20,118636,SIP,4429,Punjab,Amritsar,B30,46-55,Male,94.1,UPI,PENDING
INV003328,2024-01-20,119120,LUMPSUM,303017,Karnataka,Mysore,B30,26-35,Female,14.2,Cheque,PENDING
INV002697,2024-01-20,149323,SIP,511,West Bengal,Kolkata,T30,26-35,Male,14.1,Cheque,PENDING
INV001899,2024-01-20,120506,SIP,578,Gujarat,Ahmedabad,T30,26-35,Male,7.6,Mandate,PENDING
INV002996,2024-01-20,120507,LUMPSUM,427873,Madhya Pradesh,Bhopal,B30,26-35,Male,20.7,Net Banking,PENDING
INV002826,2024-01-20,119095,SIP,543,Haryana,Gurugram,T30,26-35,Male,20.5,Mandate,PENDING
INV004096,2024-01-20,149323,SIP,25101,Tamil Nadu,Coimbatore,B30,36-45,Male,57.1,Cheque,PENDING
INV000074,2024-01-20,120504,SIP,7798,Rajasthan,Jaipur,T30,26-35,Female,8.4,Mandate,PENDING
INV000371,2024-01-21,119120,SIP,5416,Uttar Pradesh,Agra,B30,26-35,Male,14.6,Cheque,PENDING
INV003288,2024-01-21,102886,SIP,45897,Punjab,Chandigarh,T30,56+,Male,57.9,Cheque,PENDING
INV003962,2024-01-21,118635,SIP,26088,Haryana,Gurugram,T30,26-35,Male,20.4,Cheque,PENDING
INV003042,2024-01-21,119599,REDEMPTION,478639,Tamil Nadu,Coimbatore,B30,46-55,Male,23.5,Net Banking,PENDING
INV002257,2024-01-21,125498,REDEMPTION,199340,West Bengal,Kolkata,T30,26-35,Male,9.8,Net Banking,PENDING
INV004065,2024-01-21,149324,SIP,45064,Tamil Nadu,Chennai,T30,26-35,Male,6.1,UPI,PENDING
INV002509,2024-01-22,100033,REDEMPTION,229514,Maharashtra,Mumbai,T30,36-45,Female,19.9,Net Banking,PENDING
INV000811,2024-01-22,120503,SIP,15579,Haryana,Faridabad,B30,36-45,Female,34.5,Cheque,PENDING
INV002399,2024-01-22,102885,REDEMPTION,157245,Gujarat,Ahmedabad,T30,46-55,Female,34.7,Net Banking,PENDING
INV002138,2024-01-22,101208,SIP,439,Karnataka,Bangalore,T30,46-55,Female,78.2,Mandate,PENDING
INV003026,2024-01-22,149324,LUMPSUM,311050,Madhya Pradesh,Bhopal,B30,36-45,Female,25.7,UPI,PENDING
INV002622,2024-01-23,120506,REDEMPTION,476484,Karnataka,Mysore,B30,18-25,Female,4.0,Net Banking,PENDING
INV004140,2024-01-23,118636,SIP,563,Punjab,Amritsar,B30,46-55,Female,41.6,Cheque,PENDING
INV004401,2024-01-23,148567,SIP,23254,Rajasthan,Udaipur,B30,26-35,Male,22.6,Net Banking,PENDING
INV001473,2024-01-23,120844,SIP,41716,Delhi,Gurugram,T30,36-45,Male,29.1,UPI,PENDING
INV002170,2024-01-23,118635,SIP,429,Delhi,New Delhi,T30,26-35,Female,14.7,Mandate,PENDING
INV004174,2024-01-24,125498,SIP,2683,Rajasthan,Udaipur,B30,18-25,Male,4.7,Cheque,PENDING
INV002671,2024-01-24,100025,LUMPSUM,132637,Madhya Pradesh,Indore,T30,18-25,Male,6.3,Mandate,PENDING
INV000523,2024-01-24,125498,REDEMPTION,88006,West Bengal,Kolkata,T30,36-45,Male,13.1,UPI,PENDING
INV002886,2024-01-24,118632,SIP,6246,Tamil Nadu,Chennai,T30,18-25,Female,7.1,Cheque,PENDING
INV003125,2024-01-24,125498,LUMPSUM,406866,Punjab,Chandigarh,T30,36-45,Female,30.8,Mandate,PENDING
INV002111,2024-01-24,119093,SIP,2934,Telangana,Hyderabad,T30,36-45,Female,29.2,Net Banking,PENDING
INV000445,2024-01-24,120842,SIP,7868,Madhya Pradesh,Bhopal,B30,26-35,Female,24.7,Cheque,PENDING
INV004288,2024-01-25,120503,SIP,8266,Punjab,Amritsar,B30,18-25,Female,6.1,Mandate,PENDING
INV003083,2024-01-25,119095,SIP,7405,Madhya Pradesh,Bhopal,B30,56+,Female,41.3,UPI,PENDING
INV002648,2024-01-26,120843,LUMPSUM,280561,Punjab,Chandigarh,T30,36-45,Male,57.1,Net Banking,PENDING
INV004807,2024-01-26,119120,REDEMPTION,136162,Maharashtra,Mumbai,T30,36-45,Male,31.4,Mandate,PENDING
INV001191,2024-01-26,148567,SIP,1047,Telangana,Hyderabad,T30,56+,Male,37.5,UPI,PENDING
INV002327,2024-01-27,101207,SIP,8203,Punjab,Amritsar,B30,26-35,Male,7.0,UPI,PENDING
INV000573,2024-01-27,100025,SIP,50371,Madhya Pradesh,Bhopal,B30,56+,Female,38.5,UPI,PENDING
INV001188,2024-01-27,119598,SIP,9885,Delhi,New Delhi,T30,18-25,Male,7.9,UPI,PENDING
INV004359,2024-01-28,118635,LUMPSUM,275749,Delhi,New Delhi,T30,26-35,Male,9.4,UPI,PENDING
INV002590,2024-01-28,120844,SIP,49252,West Bengal,Kolkata,T30,36-45,Male,45.1,UPI,PENDING
INV003567,2024-01-28,101207,SIP,42618,Tamil Nadu,Chennai,T30,46-55,Male,76.1,UPI,PENDING
INV004583,2024-01-28,125498,REDEMPTION,77768,Maharashtra,Nashik,B30,26-35,Male,13.9,UPI,PENDING
INV001361,2024-01-28,120843,SIP,2589,West Bengal,Kolkata,T30,26-35,Female,21.1,Cheque,PENDING
INV002640,2024-01-29,119551,SIP,8411,Haryana,Faridabad,B30,56+,Female,50.5,Net Banking,PENDING
INV001878,2024-01-29,100033,LUMPSUM,322624,West Bengal,Kolkata,T30,26-35,Male,7.8,Mandate,PENDING
INV004051,2024-01-29,119552,LUMPSUM,283812,Rajasthan,Udaipur,B30,36-45,Female,28.8,Mandate,PENDING
INV000779,2024-01-29,100016,REDEMPTION,227885,Gujarat,Ahmedabad,T30,36-45,Male,35.3,Cheque,PENDING
INV000354,2024-01-29,125498,SIP,8024,Telangana,Hyderabad,T30,26-35,Male,21.2,Cheque,PENDING
INV001420,2024-01-29,120842,LUMPSUM,422630,Rajasthan,Jaipur,T30,36-45,Male,32.2,UPI,PENDING
INV004421,2024-01-29,100016,SIP,25091,Punjab,Amritsar,B30,26-35,Male,20.5,Net Banking,PENDING
INV003859,2024-01-29,119599,REDEMPTION,228465,Karnataka,Bangalore,T30,36-45,Male,28.5,Net Banking,PENDING
INV000205,2024-01-29,120506,SIP,16529,Haryana,Faridabad,B30,18-25,Male,4.4,UPI,PENDING
INV000344,2024-01-29,120844,LUMPSUM,282293,Madhya Pradesh,Bhopal,B30,36-45,Male,56.7,Mandate,PENDING
INV000480,2024-01-29,101208,REDEMPTION,354793,Maharashtra,Mumbai,T30,18-25,Male,6.2,Mandate,PENDING
INV004310,2024-01-29,119598,SIP,2849,Telangana,Hyderabad,T30,36-45,Male,18.3,Cheque,PENDING
INV003150,2024-01-29,101208,SIP,5237,Gujarat,Ahmedabad,T30,26-35,Female,13.6,UPI,PENDING
INV003925,2024-01-29,148569,SIP,444,Punjab,Amritsar,B30,26-35,Female,14.2,Cheque,PENDING
INV004815,2024-01-30,119598,SIP,1693,Tamil Nadu,Coimbatore,B30,36-45,Male,44.4,Cheque,PENDING
INV002926,2024-01-30,119093,SIP,5714,Telangana,Hyderabad,T30,26-35,Male,16.6,UPI,PENDING
INV001318,2024-01-30,102885,SIP,27985,Telangana,Hyderabad,T30,36-45,Male,59.3,Cheque,PENDING
INV003813,2024-01-30,149322,SIP,2211,Rajasthan,Udaipur,B30,36-45,Male,23.6,UPI,PENDING
INV002555,2024-01-30,149324,SIP,22192,Gujarat,Ahmedabad,T30,36-45,Male,24.5,Net Banking,PENDING
INV000466,2024-01-30,119598,SIP,10096,Haryana,Faridabad,B30,18-25,Male,4.4,Net Banking,PENDING
INV003520,2024-01-31,148569,SIP,1646,Uttar Pradesh,Lucknow,T30,18-25,Male,4.5,Cheque,PENDING
INV002369,2024-01-31,149323,LUMPSUM,80267,Madhya Pradesh,Bhopal,B30,36-45,Male,33.6,Cheque,PENDING
INV001060,2024-01-31,101207,SIP,5702,Telangana,Hyderabad,T30,36-45,Male,29.0,Cheque,PENDING
INV003267,2024-01-31,148567,SIP,2768,Rajasthan,Udaipur,B30,36-45,Male,29.9,Cheque,PENDING
INV002574,2024-01-31,119598,SIP,4100,Maharashtra,Nashik,B30,26-35,Male,11.1,Mandate,PENDING
INV001507,2024-02-01,125498,SIP,1822,Uttar Pradesh,Lucknow,T30,26-35,Male,20.4,Cheque,PENDING
INV003794,2024-02-01,120507,LUMPSUM,451815,Gujarat,Ahmedabad,T30,26-35,Male,22.1,Cheque,PENDING
INV001580,2024-02-01,102886,LUMPSUM,154762,Punjab,Chandigarh,T30,26-35,Male,18.7,Mandate,PENDING
INV000781,2024-02-01,101208,SIP,16267,Delhi,Gurugram,T30,26-35,Male,6.8,UPI,PENDING
INV000652,2024-02-01,101207,LUMPSUM,111379,Delhi,Gurugram,T30,26-35,Male,8.0,Cheque,PENDING
INV002343,2024-02-02,119598,SIP,1612,Punjab,Amritsar,B30,26-35,Male,22.1,Net Banking,PENDING
INV002139,2024-02-02,149323,LUMPSUM,436205,Haryana,Gurugram,T30,36-45,Female,28.6,Net Banking,PENDING
INV004617,2024-02-02,119092,SIP,4686,Karnataka,Bangalore,T30,26-35,Male,22.1,Cheque,PENDING
INV004128,2024-02-02,119094,SIP,46742,Haryana,Faridabad,B30,18-25,Male,3.3,Cheque,PENDING
INV003228,2024-02-02,118632,SIP,2452,Madhya Pradesh,Bhopal,B30,26-35,Male,20.0,Net Banking,PENDING
INV001001,2024-02-02,120503,REDEMPTION,400385,Madhya Pradesh,Indore,T30,26-35,Female,20.7,Cheque,PENDING
INV002130,2024-02-03,118635,REDEMPTION,92351,Maharashtra,Pune,T30,46-55,Male,22.5,Cheque,PENDING
INV001891,2024-02-03,102886,SIP,7442,West Bengal,Kolkata,T30,26-35,Male,22.2,Cheque,PENDING
INV003517,2024-02-03,119552,SIP,5201,Gujarat,Ahmedabad,T30,26-35,Male,16.6,UPI,PENDING
INV000825,2024-02-03,149323,SIP,11062,Madhya Pradesh,Bhopal,B30,18-25,Female,5.5,Cheque,PENDING
INV004112,2024-02-03,148569,SIP,8494,Madhya Pradesh,Bhopal,B30,46-55,Male,30.0,Net Banking,PENDING
INV002459,2024-02-03,119094,SIP,2795,Rajasthan,Udaipur,B30,18-25,Female,5.2,UPI,PENDING
INV002762,2024-02-04,119552,SIP,13125,Rajasthan,Udaipur,B30,26-35,Female,21.9,UPI,PENDING
INV003396,2024-02-04,118636,SIP,5743,Karnataka,Mysore,B30,26-35,Male,23.4,UPI,PENDING
INV001087,2024-02-04,148568,SIP,7434,Rajasthan,Udaipur,B30,26-35,Female,20.6,Net Banking,PENDING
INV002186,2024-02-05,120843,SIP,868,Haryana,Faridabad,B30,18-25,Female,7.9,UPI,PENDING
INV002622,2024-02-05,119095,LUMPSUM,41779,Karnataka,Mysore,B30,18-25,Female,4.0,UPI,PENDING
INV003716,2024-02-05,120507,SIP,2086,Uttar Pradesh,Kanpur,B30,36-45,Male,37.7,Cheque,PENDING
INV001485,2024-02-05,119552,SIP,2327,Rajasthan,Jaipur,T30,56+,Female,24.4,UPI,PENDING
INV003907,2024-02-05,120842,REDEMPTION,342434,Gujarat,Surat,T30,46-55,Male,62.6,Mandate,PENDING
INV004181,2024-02-05,148568,SIP,54785,Uttar Pradesh,Lucknow,T30,26-35,Female,17.8,Cheque,PENDING
INV003321,2024-02-06,101208,SIP,2948,Karnataka,Bangalore,T30,46-55,Male,22.5,Mandate,PENDING
INV003844,2024-02-06,119552,LUMPSUM,230863,Maharashtra,Nashik,B30,26-35,Female,15.9,Net Banking,PENDING
INV002611,2024-02-06,120503,LUMPSUM,322513,West Bengal,Kolkata,T30,26-35,Male,21.5,Mandate,PENDING
INV001708,2024-02-06,120843,SIP,17226,Haryana,Faridabad,B30,18-25,Male,7.7,Mandate,PENDING
INV000196,2024-02-06,119120,LUMPSUM,349242,Tamil Nadu,Chennai,T30,26-35,Male,17.9,Mandate,PENDING
INV002945,2024-02-07,120503,LUMPSUM,299499,Maharashtra,Nashik,B30,26-35,Male,15.6,UPI,PENDING
INV001029,2024-02-07,120843,SIP,24147,Uttar Pradesh,Kanpur,B30,36-45,Male,44.2,UPI,PENDING
INV002459,2024-02-07,102887,SIP,1080,Rajasthan,Udaipur,B30,18-25,Female,5.2,Net Banking,PENDING
INV002052,2024-02-08,148568,SIP,59607,Uttar Pradesh,Lucknow,T30,36-45,Male,50.8,Net Banking,PENDING
INV003427,2024-02-08,119552,SIP,14346,West Bengal,Kolkata,T30,18-25,Male,4.4,Net Banking,PENDING
INV003714,2024-02-08,118635,LUMPSUM,378580,Punjab,Chandigarh,T30,46-55,Female,52.9,Net Banking,PENDING
INV002956,2024-02-08,118632,SIP,1186,Gujarat,Surat,T30,36-45,Female,53.7,UPI,PENDING
INV002974,2024-02-08,119095,LUMPSUM,508060,Telangana,Hyderabad,T30,26-35,Female,21.9,UPI,PENDING
INV004101,2024-02-09,118635,SIP,536,Telangana,Hyderabad,T30,46-55,Male,44.6,UPI,PENDING
INV001557,2024-02-09,148568,SIP,2013,Haryana,Gurugram,T30,26-35,Female,10.5,UPI,PENDING
INV003759,2024-02-09,120843,REDEMPTION,242761,Haryana,Gurugram,T30,26-35,Male,6.1,Net Banking,PENDING
INV003492,2024-02-10,118636,SIP,2609,Gujarat,Ahmedabad,T30,36-45,Male,35.2,Cheque,PENDING
INV000343,2024-02-10,102886,REDEMPTION,390881,Punjab,Chandigarh,T30,36-45,Male,28.5,Cheque,PENDING
INV000280,2024-02-10,149324,REDEMPTION,105293,Punjab,Amritsar,B30,26-35,Female,22.9,Cheque,PENDING
INV002584,2024-02-10,148569,REDEMPTION,449133,Tamil Nadu,Chennai,T30,36-45,Female,40.0,UPI,PENDING
INV003267,2024-02-11,125498,SIP,2216,Rajasthan,Udaipur,B30,36-45,Male,29.9,Net Banking,PENDING
INV004290,2024-02-12,120843,SIP,28249,Gujarat,Ahmedabad,T30,46-55,Male,41.9,UPI,PENDING
INV004126,2024-02-12,120507,SIP,43495,Delhi,Noida,T30,26-35,Female,14.7,UPI,PENDING
INV003079,2024-02-12,101206,SIP,6503,Gujarat,Surat,T30,26-35,Male,8.5,Mandate,PENDING
INV004460,2024-02-12,119095,SIP,2911,Haryana,Gurugram,T30,26-35,Male,24.7,Net Banking,PENDING
INV003593,2024-02-12,120507,SIP,41714,Karnataka,Bangalore,T30,26-35,Female,21.6,Net Banking,PENDING
INV002284,2024-02-13,148569,SIP,23158,Karnataka,Bangalore,T30,36-45,Male,55.3,UPI,PENDING
INV000271,2024-02-13,100033,LUMPSUM,95023,Tamil Nadu,Coimbatore,B30,26-35,Female,6.4,UPI,PENDING
INV000165,2024-02-13,148567,LUMPSUM,159345,Punjab,Chandigarh,T30,36-45,Female,18.8,Cheque,PENDING
INV002034,2024-02-13,101208,SIP,1966,Uttar Pradesh,Lucknow,T30,26-35,Male,10.0,UPI,PENDING
INV004770,2024-02-14,102886,SIP,52023,Gujarat,Surat,T30,18-25,Female,5.2,UPI,PENDING
INV001762,2024-02-14,148568,LUMPSUM,516163,Punjab,Amritsar,B30,18-25,Female,7.5,Net Banking,PENDING
INV000634,2024-02-15,118635,SIP,16929,Karnataka,Bangalore,T30,26-35,Female,22.7,Mandate,PENDING
INV001618,2024-02-15,101208,SIP,812,Karnataka,Bangalore,T30,56+,Female,28.0,Net Banking,PENDING
INV002515,2024-02-15,119093,LUMPSUM,236742,West Bengal,Kolkata,T30,56+,Female,73.9,UPI,PENDING
INV001470,2024-02-15,120506,SIP,53880,Haryana,Gurugram,T30,36-45,Male,26.2,Mandate,PENDING
INV001579,2024-02-15,119093,SIP,43231,Karnataka,Bangalore,T30,46-55,Male,71.1,Net Banking,PENDING
INV004357,2024-02-15,101208,SIP,2846,Delhi,Gurugram,T30,46-55,Female,55.6,Mandate,PENDING
INV001358,2024-02-15,102887,SIP,3401,Rajasthan,Jaipur,T30,26-35,Male,14.8,Mandate,PENDING
INV003878,2024-02-15,125497,SIP,10059,Haryana,Gurugram,T30,56+,Male,27.9,Mandate,PENDING
INV004115,2024-02-15,120507,SIP,44316,Madhya Pradesh,Indore,T30,56+,Male,69.9,UPI,PENDING
INV004128,2024-02-16,120843,SIP,3579,Haryana,Faridabad,B30,18-25,Male,3.3,Net Banking,PENDING
INV004958,2024-02-16,148569,SIP,11908,Maharashtra,Mumbai,T30,36-45,Male,20.9,UPI,PENDING
INV002013,2024-02-16,119095,SIP,1957,Rajasthan,Jaipur,T30,46-55,Male,30.2,Mandate,PENDING
INV004381,2024-02-16,119120,SIP,7159,West Bengal,Kolkata,T30,46-55,Female,27.2,UPI,PENDING
INV003563,2024-02-17,118636,LUMPSUM,115187,Haryana,Gurugram,T30,46-55,Male,41.8,Net Banking,PENDING
INV004751,2024-02-17,148568,SIP,25728,Maharashtra,Pune,T30,36-45,Female,15.6,Mandate,PENDING
INV002876,2024-02-17,102885,SIP,2695,Uttar Pradesh,Kanpur,B30,36-45,Female,44.6,Net Banking,PENDING
